question_id,question_content,A,B,C,D,true_answer,detail_explain,expert_common
16,"A company has complex connectivity rules governing ingress, egress, and communications between Amazon EC2 instances. The rules are so complex that they cannot be implemented within the limits of the maximum number of security groups and network access control lists (network ACLs). What mechanism will allow the company to implement all required network rules without incurring additional cost?",(A) Configure AWS WAF rules to implement the required rules.,"(B) Use the operating system built-in, host-based firewall to implement the required rules.",(C) Use a NAT gateway to control ingress and egress according to the requirements.,"(D) Launch an EC2-based firewall product from the AWS Marketplace, and implement the required rules in that product.",B,,
17,You are planning to use AWS Config to check the configuration of the resources in your AWS account. You are planning on using an existing IAM role and using it for the AWS Config resource. Which of the following is required to ensure the AWS config service can work as required? Please select:,(A) Ensure that there is a trust policy in place for the AWS Config service within the role,(B) Ensure that there is a grant policy in place for the AWS Config service within the role,(C) Ensure that there is a user policy in place for the AWS Config service within the role,(D) Ensure that there is a group policy in place for the AWS Config service within the role,A,"8 Options B,C and D are invalid because you need to ensure a trust policy is in place and not a grant,user or group policy or more information on the 1AM role permissions please visit the below Link:https://docs.aws.amazon.com/config/latest/developerguide/iamrole-permissions.htmll The correctanswer is: Ensure that there is a trust policy in place for the AWS Config service within the roleSubmit your Feedback/Queries to our Experts",
19,A Security Engineer is trying to determine whether the encryption keys used in an AWS service are in compliance with certain regulatory standards. Which of the following actions should the Engineer perform to get further guidance?,(A) Read the AWS Customer Agreement.,(B) Use AWS Artifact to access AWS compliance reports.,(C) Post the question on the AWS Discussion Forums.,(D) Run AWS Config and evaluate the configuration outputs.,B,https://aws.amazon.com/artifact/,
20,Your company is hosting a set of EC2 Instances in AWS. They want to have the ability to detect if any port scans occur on their AWS EC2 Instances. Which of the following can help in this regard? Please select:,(A) Use AWS inspector to consciously inspect the instances for port scans,(B) Use AWS Trusted Advisor to notify of any malicious port scans,(C) Use AWS Config to notify of any malicious port scans,(D) Use AWS Guard Duty to monitor any malicious port scans,D,"The AWS blogs mention the following to support the use of AWS GuardDuty GuardDuty voraciouslyconsumes multiple data streams, including several threat intelligence feeds, staying aware ofmalicious addresses, devious domains, and more importantly, learning to accurately identifymalicious or unauthorized behavior in your AWS accounts. In combination with information gleanedfrom your VPC Flow Logs, AWS CloudTrail Event Logs, and DNS logs, th allows GuardDuty to detectmany different types of dangerous and mischievous behavior including probes for knownvulnerabilities, port scans and probes, and access from unusual locations. On the AWS side, it looksfor suspicious AWS account activity such as unauthorized deployments, unusual CloudTrail activity,patterns of access to AWS API functions, and attempts to exceed multiple service limits. GuardDutywill also look for compromised EC2 instances talking to malicious entities or services, data exfiltrationattempts, and instances that are mining cryptocurrency.Options A, B and C are invalid because these services cannot be used to detect port scans For moreinformation on AWS Guard Duty, please refer to the below Link:https://aws.amazon.com/blogs/aws/amazon-guardduty-continuous-security-monitoring-threat-detection; ( The correct answer is: Use AWS Guard Duty to monitor any malicious port scans Submityour Feedback/Queries to our Experts10",
22,"You are building a system to distribute confidential training videos to employees. Using CloudFront, what method could be used to serve content that is stored in S3, but not publicly accessible from S3 directly? Please select:",(A) Create an Origin Access Identity (OAI) for CloudFront and grant access to the objects in your S3 bucket to that OAl.,"(B) Add the CloudFront account security group ""amazon-cf/amazon-cf-sg"" to the appropriate S3 bucket policy.",(C) Create an Identity and Access Management (IAM) User for CloudFront and grant access to the objects in your S3 bucket to that IAM User.,(D) Create a S3 bucket policy that lists the CloudFront distribution ID as the Principal and the target bucket as the Amazon Resource Name (ARN).,A,"You can optionally secure the content in your Amazon S3 bucket so users can access it throughCloudFront but cannot access it directly by using Amazon S3 URLs. This prevents anyone frombypassing CloudFront and using the Amazon S3 URL to get content that you want to restrict access to.This step isn't required to use signed URLs, but we recommend it To require that users access yourcontent through CloudFront URLs, you perform the following tasks:Create a special CloudFront user called an origin access identity.Give the origin access identity permission to read the objects in your bucket.Remove permission for anyone else to use Amazon S3 URLs to read the objects.Option B,C and D are all automatically invalid, because the right way is to ensure to create OriginAccess Identity (OAI) for CloudFront and grant access accordingly.For more information on serving private content via Cloudfront, please visit the following URL:https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/PrivateContent.htmll Thecorrect answer is: Create an Origin Access Identity (OAI) for CloudFront and grant access to theobjects in your S3 bucket t that OAI.You can optionally secure the content in your Amazon S3 bucket so users can access it throughCloudFront but cannot access it directly by using Amazon S3 URLs. This prevents anyone frombypassing CloudFront and using the Amazon S3 URL to get content that you want to restrict access to.This step isn't required to use signed URLs, but we recommend it To require that users access yourcontent through CloudFront URLs, you perform the following tasks:Create a special CloudFront user called an origin access identity.Give the origin access identity permission to read the objects in your bucket.Remove permission for anyone else to use Amazon S3 URLs to read the objects.Option B,C and D are all automatically invalid, because the right way is to ensure to create OriginAccess Identity (OAI) for CloudFront and grant access accordingly.For more information on serving private content via Cloudfront, please visit the following URL:https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/PrivateContent.htmll Thecorrect answer is: Create an Origin Access Identity (OAI) for CloudFront and grant access to theobjects in your S3 bucket t that OAI.Submit your Feedback/Queries to our ExpertsSubmit your Feedback/Queries to our Experts",
23,Your company hosts critical data in an S3 bucket. There is a requirement to ensure that all data is encrypted. There is also metadata about the information stored in the bucket that needs to be encrypted aswell. Which of the below measures would you take to ensure that the metadata is encrypted? Please select:,(A) Put the metadata as metadata for each object in the S3 bucket and then enable S3 Server side encryption.,(B) Put the metadata as metadata for each object in the S3 bucket and then enable S3 Server KMS encryption.,(C) Put the metadata in a DynamoDB table and ensure the table is encrypted during creation time.,(D) Put the metadata in the S3 hurkpf itself.,C,"Option A ,B and D are all invalid because the metadata will not be encrypted in any case and this is a12key requirement from the question.One key thing to note is that when the S3 bucket objects are encrypted, the meta data is notencrypted. So the best option is to use an encrypted DynamoDB table Important All GET and PUTrequests for an object protected by AWS KMS will fail if they are not made via SSL or by using SigV4.SSE-KMS encrypts only the object data. Any object metadata is not encrypted. For more informationon using KMS encryption for S3, please refer to below URL: 1https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingKMSEncryption.html The correct answeris: Put the metadata in a DynamoDB table and ensure the table is encrypted during creation time.Submit your Feedback/Queries to our Experts",
24,An application running on EC2 instances in a VPC must access sensitive data in the data center. The access must be encrypted in transit and have consistent low latency. Which hybrid architecture will meet these requirements? Please select:,(A) Expose the data with a public HTTPS endpoint.,(B) A VPN between the VPC and the data center over a Direct Connect connection,(C) A VPN between the VPC and the data center.,(D) A Direct Connect connection between the VPC and data center,B,"Since this is required over a consistency low latency connection, you should use Direct Connect. Forencryption, you can make use of a VPN Option A is invalid because exposing an HTTPS endpoint willnot help all traffic to flow between a VPC and the data center.Option C is invalid because low latency is a key requirementOption D is invalid because only Direct Connect will not sufficeFor more information on the connection options please see the below Link:https://aws.amazon.com/answers/networking/aws-multiple-vpc-vpn-connection-sharint The correctanswer is: A VPN between the VPC and the data center over a Direct Connect connection Submit yourFeedback/Queries to our Experts",
25,"The AWS Systems Manager Parameter Store is being used to store database passwords usedby an AWS Lambda function. Because this is sensitive data, the parameters are stored as type SecureString and protected by an AWS KMS key that allows access through IAM. When the function executes, this parameter cannot be retrieved as the result of an access denied error. Which of the following actions will resolve the access denied error?",(A) Update the ssm.amazonaws.com principal in the KMS key policy to allow kms: Decrypt.,(B) Update the Lambda configuration to launch the function in a VPC.,"(C) Add a policy to the role that the Lambda function uses, allowing kms: Decrypt for the KMS key.",(D) Add lambda.amazonaws.com as a trusted entity on the IAM role that the Lambda function uses.,C,https://docs.amazonaws.cn/en_us/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Integrating.Authorizing.,
26,A Systems Engineer has been tasked with configuring outbound mail through Simple Email Service (SES) and requires compliance with current TLS standards. The mail application should be configured to connect to which of the following endpoints and corresponding ports?,(A) email.us-east-1.amazonaws.com over port 8080,(B) email-pop3.us-east-1.amazonaws.com over port 995,(C) email-smtp.us-east-1.amazonaws.com over port 587,(D) email-imap.us-east-1.amazonaws.com over port 993,C,https://docs.aws.amazon.com/ses/latest/DeveloperGuide/smtp-connect.html,
28,"A company will store sensitive documents in three Amazon S3 buckets based on a data classification scheme of ""Sensitive,"" ""Confidential,"" and ""Restricted."" The security solution must meet all of the following requirements:* Each object must be encrypted using a unique key.* Items that are stored in the ""Restricted"" bucket require two-factor authentication for decryption.* AWS KMS must automatically rotate encryption keys annually. Which of the following meets these requirements?","(A) Create a Customer Master Key (CMK) for each data classification type, and enable the rotation of it annually. For the ""Restricted"" CMK, define the MFA policy within the key policy. Use S3 SSE-KMS to encrypt the objects.",(B) Create a CMK grant for each data classification type with EnableKeyRotation andMultiFactorAuthPresent set to true. S3 can then use the grants to encrypt each object with a uniqueCMK.,"(C) Create a CMK for each data classification type, and within the CMK policy, enable rotation of itannually, and define the MFA policy. S3 can then create DEK grants to uniquely encrypt each objectwithin the S3 bucket.","(D) Create a CMK with unique imported key material for each data classification type, and rotate themannually. For the ""Restricted"" key material, define the MFA policy in the key policy. Use S3 SSE-KMSto encrypt the objects.",A,"CMKs that are not eligible for automatic key rotation, including asymmetric CMKs, CMKs in customkey stores, and CMKs with imported key material.",
29,A company stores data on an Amazon EBS volume attached to an Amazon EC2 instance. The data is asynchronously replicated to an Amazon S3 bucket. Both the EBS volume and the S3 bucket are encrypted with the same AWS KMS Customer Master Key (CMK). A former employee scheduled a deletion of that CMK before leaving the company. The company's Developer Operations department learns about this only after the CMK has been deleted. Which steps must be taken to address this situation?,(A) Copy the data directly from the EBS encrypted volume before the volume is detached from the EC2 instance.,(B) Recover the data from the EBS encrypted volume using an earlier version of the KMS backing key.,(C) Make a request to AWS Support to recover the S3 encrypted data.,"(D) Make a request to AWS Support to restore the deleted CMK, and use it to recover the data.",A,,
30,Your company has an EC2 Instance hosted in AWS. This EC2 Instance hosts an application. Currently this application is experiencing a number of issues. You need to inspect the network packets to see what the type of error that is occurring? Which one of the below steps can help address this issue? Please select:,(A) Use the VPC Flow Logs.,(B) Use a network monitoring tool provided by an AWS partner.,"(C) Use another instance. Setup a port to ""promiscuous mode"" and sniff the traffic to analyze thepackets. -",(D) Use Cloudwatch metric,B,,
31,You want to get a list of vulnerabilities for an EC2 Instance as per the guidelines set by the 15 Center of Internet Security.  How can you go about doing this? Please select:,(A) Enable AWS Guard Duty for the Instance,(B) Use AWS Trusted Advisor,(C) Use AWS inspector,(D) UseAWSMacie,C,"The AWS Inspector service can inspect EC2 Instances based on specific Rules. One of the rulespackages is based on the guidelines set by the Center of Internet Security Center for Internet security(CIS) Benchmarks The CIS Security Benchmarks program provides well-defined, un-biased andconsensus-based industry best practices to help organizations assess and improve their security.Amazon Web Services is a CIS Security Benchmarks Member company and the list of AmazonInspector certifications can be viewed nere.Option A is invalid because this can be used to protect an instance but not give the list ofvulnerabilities Options B and D are invalid because these services cannot give a list of vulnerabilitiesFor more information on the guidelines, please visit the below URL:* https://docs.aws.amazon.com/inspector/latest/userguide/inspector_cis.html The correct answer is:Use AWS Inspector Submit your Feedback/Queries to our Experts",
32,"A company recently experienced a DDoS attack that prevented its web server from serving content. The website is static and hosts only HTML, CSS, and PDF files that users download. Based on the architecture shown in the image, what is the BEST way to protect the site against future attacks while minimizing the ongoing operational overhead?",(A) Move all the files to an Amazon S3 bucket. Have the web server serve the files from the S3 bucket.,(B) Launch a second Amazon EC2 instance in a new subnet. Launch an Application Load Balancer infront of both instances.,(C) Launch an Application Load Balancer in front of the EC2 instance. Create an Amazon CloudFrontdistribution in front of the Application Load Balancer.,(D) Move all the files to an Amazon S3 bucket. Create a CloudFront distribution in front of the bucketand terminate the web server.,D,https://docs.aws.amazon.com/AmazonS3/latest/dev/WebsiteHosting.html,
35,An organization has launched 5 instances: 2 for production and 3 for testing. The organization wants that one particular group of IAM users should only access the test instances and not the production ones. How can the organization set that as a part of the policy? Please select:,(A) Launch the test and production instances in separate regions and allow region wise access to the group,(B) Define the IAM policy which allows access based on the instance ID,(C) Create an IAM policy with a condition which allows access to only small instances,(D) Define the tags on the test and production servers and add a condition to the IAM policy which allows access to specification tags,D,"Tags enable you to categorize your AWS resources in different ways, for example, by purpose, owner,or environment. This is useful when you have many resources of the same type - you can quicklyidentify a specific resource based on the tags you've assigned to it Option A is invalid because this is18not a recommended practices Option B is invalid because this is an overhead to maintain this inpolicies Option C is invalid because the instance type will not resolve the requirement Forinformation on resource tagging, please visit the below URL:http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Usine_Tags.htmllThe correct answer is: Define the tags on the test and production servers and add a condition to the1AM policy which allows access to specific tags Submit your Feedback/Queries to our Experts",
36,"A Solutions Architect is designing a web application that uses Amazon CloudFront, an ElasticLoad Balancing Application Load Balancer, and an Auto Scaling group of Amazon EC2 instances. The load balancer and EC2 instances are in the US West (Oregon) region. It has been decided that encryption in transit is necessary by using a customer-branded domain name from the client to CloudFront and from CloudFront to the load balancer. Assuming that AWS Certificate Manager is used, how many certificates will need to be generated?",(A) One in the US West (Oregon) region and one in the US East (Virginia) region.,(B) Two in the US West (Oregon) region and none in the US East (Virginia) region.,(C) One in the US West (Oregon) region and none in the US East (Virginia) region.,(D) Two in the US East (Virginia) region and none in the US West (Oregon) region.,A,"AWS Region that You Request a Certificate In (for AWS Certificate Manager) If you want to requireHTTPS between viewers and CloudFront, you must change the AWS region to US East (N. Virginia) inthe AWS Certificate Manager console before you request or import a certificate. If you want torequire HTTPS between CloudFront and your origin, and you're using an ELB load balancer as yourorigin, you can request or import a certificate in any region.https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/cnames-and-https-requirements.html",
38,A company has a set of EC2 Instances hosted in AWS. The EC2 Instances have EBS volumes which is used to store critical information. There is a business continuity requirement to ensure high availability for the EBS volumes. How can you achieve this?,(A) Use lifecycle policies for the EBS volumes,(B) Use EBS Snapshots,(C) Use EBS volume replication,(D) Use EBS volume encryption,B,"Data stored in Amazon EBS volumes is redundantly stored in multiple physical locations as part ofnormal operation of those services and at no additional charge. However, Amazon EBS replication isstored within the same availability zone, not across multiple zones; therefore, it is highlyrecommended that you conduct regular snapshots to Amazon S3 for long-term data durability OptionA is invalid because there is no lifecycle policy for EBS volumes Option C is invalid because there is noEBS volume replication Option D is invalid because EBS volume encryption will not ensure businesscontinuity For information on security for Compute Resources, please visit the below URL:https://d1.awsstatic.com/whitepapers/Security/Security_Compute_Services_Whitepaper.pdf",
39,A company is planning to run a number of Admin related scripts using the AWS Lambda service. There is a need to understand if there are any errors encountered when the script run. How can this be accomplished in the most effective manner. Please select:,(A) Use Cloudwatch metrics and logs to watch for errors,(B) Use Cloudtrail to monitor for errors,(C) Use the AWS Config service to monitor for errors,(D) Use the AWS inspector service to monitor for errors,A,"The AWS Documentation mentions the followingAWS Lambda automatically monitors Lambda functions on your behalf, reporting metrics throughAmazon CloudWatch. To help you troubleshoot failures in a function. Lambda logs all requestshandled by your function and also automatically stores logs generated by your code through AmazonCloudWatch Logs.Option B,C and D are all invalid because these services cannot be used to monitor for errors. I Formore information on Monitoring Lambda functions, please visit the following URL:https://docs.aws.amazon.com/lambda/latest/dg/monitorine-functions-loes.htmll The correct answeris: Use Cloudwatch metrics and logs to watch for errors Submit your Feedback/Queries to our Experts",
40,"You have private video content in S3 that you want to serve to subscribed users on the Internet. User IDs, credentials, and subscriptions are stored in an Amazon RDS database. Which configuration will allow you to securely serve private content to your users? Please select:",(A) Generate pre-signed URLs for each user as they request access to protected S3 content,(B) Create an 1AM user for each subscribed user and assign the GetObject permission to each 1AMuser,(C) Create an S3 bucket policy that limits access to your private content to only your subscribedusers'credentials20,(D) Crpafp a Cloud Front Clriein Identity user for vnur suhsrrihprl users and assign the GptOhiprtoprmissinn to this user,A,"All objects and buckets by default are private. The pre-signed URLs are useful if you want youruser/customer to be able upload a specific object to your bucket but you don't require them to haveAWS security credentials or permissions. When you create a pre-signed URL, you must provide yoursecurity credentials, specify a bucket name, an object key, an HTTP method (PUT for uploadingobjects), and an expiration date and time.The pre-signed URLs are valid only for the specified duration.Option B is invalid because this would be too difficult to implement at a user level.Option C is invalid because this is not possibleOption D is invalid because this is used to serve private content via Cloudfront For more informationon pre-signed urls, please refer to the Link:http://docs.aws.amazon.com/AmazonS3/latest/dev/PresienedUrlUploadObiect.htmll The correctanswer is: Generate pre-signed URLs for each user as they request access to protected S3 contentSubmit your Feedback/Queries to our Experts",
41,You have an instance setup in a test environment in AWS. You installed the required application and the promoted the server to a production environment. Your IT Security team has advised that there maybe traffic flowing in from an unknown IP address to port 22. How can this be mitigated immediately? Please select:,(A) Shutdown the instance,(B) Remove the rule for incoming traffic on port 22 for the Security Group,(C) Change the AMI for the instance,(D) Change the Instance type for the instance,B,"In the test environment the security groups might have been opened to all IP addresses for testingpurpose.Always to ensure to remove this rule once all testing is completed.Option A, C and D are all invalid because this would affect the application running on the server. Theeasiest way is just to remove the rule for access on port 22.For more information on authorizing access to an instance, please visit the below URL:https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.htmllThe correct answer is: Remove the rule for incoming traffic on port 22 for the Security Group Submityour Feedback/Queries to our Experts",
42,A company had one of its Amazon EC2 key pairs compromised. A Security Engineer must identify which current Linux EC2 instances were deployed and used the compromised key pair. How can this task be accomplished?,"(A) Obtain the list of instances by directly querying Amazon EC2 using: aws ec2 describe-instances --fi1ters""Name=key-name,Values=KEYNAMEHERE"".21","(B) Obtain the fingerprint for the key pair from the AWS Management Console, then search for the fingerprint in the Amazon Inspector logs.",(C) Obtain the output from the EC2 instance metadata using: curl http://169.254.169.254/latest/meta-data/public- keys/0/.,"(D) Obtain the fingerprint for the key pair from the AWS Management Console, then search for the fingerprint in Amazon CloudWatch Logs using: aws logs filter-log-events.",D,,
43,There is a requirement for a company to transfer large amounts of data between AWS and anon-premise location. There is an additional requirement for low latency and high consistency trafficto AWS. Given these requirements how would you design a hybrid architecture? Choose the correctanswer from the options below Please select:,(A) Provision a Direct Connect connection to an AWS region using a Direct Connect partner.,"(B) Create a VPN tunnel for private connectivity, which increases network consistency and reduceslatency.","(C) Create an iPSec tunnel for private connectivity, which increases network consistency and reduceslatency.",(D) Create a VPC peering connection between AWS and the Customer gateway.,A,"AWS Direct Connect makes it easy to establish a dedicated network connection from your premisesto AWS.Using AWS Direct Connect you can establish private connectivity between AWS and your datacenter,office, or colocation environment which in many cases can reduce your network costs, increasebandwidth throughput and provide a more consistent network experience than Internet-basedconnections.Options B and C are invalid because these options will not reduce network latency Options D isinvalid because this is only used to connect 2 VPC's For more information on AWS direct connect, justbrowse to the below URL:https://aws.amazon.com/directconnectThe correct answer is: Provision a Direct Connect connection to an AWS region using a Direct Connectpartner. omit your Feedback/Queries to our Experts",
