QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
13,"- (Exam Topic 1)
A company uses Microsoft Active Directory for access management for on-premises resources and wants to use the same mechanism for accessing its AWS
accounts. Additionally, the development team plans to launch a public-facing application for which they need a separate authentication solution.
When coma nation of the following would satisfy these requirements? (Select TWO)
",A. Set up domain controllers on Amazon EC2 to extend the on-premises directory to AWS,B. Establish network connectivity between on-premises and the user's VPC,C. Use Amazon Cognito user pools for application authentication,D. Use AD Connector tor application authentication.,E. Set up federated sign-in to AWS through ADFS and SAML.,,,,,,,,,CD,
15,"- (Exam Topic 1)
A company had one of its Amazon EC2 key pairs compromised. A Security Engineer must identify which current Linux EC2 instances were deployed and used the
compromised key pair.
How can this task be accomplished?
","A. Obtain the list of instances by directly querying Amazon EC2 using: aws ec2 describe-instances --fi1ters ""Name=key-name,Values=KEYNAMEHERE"".","B. Obtain the fingerprint for the key pair from the AWS Management Console, then search for the fingerprint in the Amazon Inspector logs.",C. Obtain the output from the EC2 instance metadata using: curl http: //169.254.169.254/latest/meta-data/public- keys/0/.,"D. Obtain the fingerprint for the key pair from the AWS Management Console, then search for the fingerprint in Amazon CloudWatch Logs using: aws logs filter-logevents.",,,,,,,,,,A,
18,"- (Exam Topic 1)
A company uses HTTP Live Streaming (HLS) to stream live video content to paying subscribers by using Amazon CloudFront. HLS splits the video content into
chunks so that the user can request the right chunk based on different conditions Because the video events last for several hours, the total video is made up of
thousands of chunks
The origin URL is not disclosed and every user is forced to access the CloudFront URL The company has a web application that authenticates the paying users
against an internal repository and a CloudFront key pair that is already issued.
What is the simplest and MOST effective way to protect the content?
",A. Develop the application to use the CloudFront key pair to create signed URLs that users will use to access the content.,B. Develop the application to use the CloudFront key pair to set the signed cookies that users will use to access the content.,C. Develop the application to issue a security token that Lambda@Edge will receive to authenticate and authorize access to the content,"D. Keep the CloudFront URL encrypted inside the application, and use AWS KMS to resolve the URL on-the-fly after the user is authenticated.",,,,,,,,,,B,
22,"- (Exam Topic 1)
A security engineer is auditing a production system and discovers several additional IAM roles that are not required and were not previously documented during
the last audit 90 days ago. The engineer is trying to find out who created these IAM roles and when they were created. The solution must have the lowest
operational overhead.
Which solution will meet this requirement?
","A. Import AWS CloudTrail logs from Amazon S3 into an Amazon Elasticsearch Service cluster, and search through the combined logs for CreateRole events.",B. Create a table in Amazon Athena for AWS CloudTrail event,C. Query the table in Amazon Athena for CreateRole events.,D. Use AWS Config to look up the configuration timeline for the additional IAM roles and view the linked AWS CloudTrail event.,"E. Download the credentials report from the IAM console to view the details for each IAM entity, including the creation dates.",,,,,,,,,A,
27,"- (Exam Topic 1)
A global company that deals with International finance is investing heavily in cryptocurrencies and wants to experiment with mining technologies using AWS. The
company's security team has enabled Amazon
GuardDuty and is concerned by the number of findings being generated by the accounts. The security team wants to minimize the possibility of GuardDuty finding
false negatives for compromised instances that are performing mining
How can the security team continue using GuardDuty while meeting these requirements?
","A. In the GuardDuty console, select the CryptoCurrency:EC2/BitcoinTool B'DNS finding and use the suppress findings option","B. Create a custom AWS Lambda function to process newly detected GuardDuty alerts Process the CryptoCurrency EC2/BitcoinTool BIDNS alert and filter outthe
high-severity finding types only.","C. When creating a new Amazon EC2 Instance, provide the instance with a specific tag that indicates it is performing mining operations Create a custom AWS
Lambda function to process newly detected GuardDuty alerts and filter for the presence of this tag","D. When GuardDuty produces a cryptocurrency finding, process the finding with a custom AWS Lambda function to extract the instance ID from the finding Then
use the AWS Systems Manager Run Command to check for a running process performing mining operations",,,,,,,,,,A,
28,"- (Exam Topic 1)
A company's Security Officer is concerned about the risk of AWS account root user logins and has assigned a Security Engineer to implement a notification
solution for near-real-time alerts upon account root user logins.
How should the Security Engineer meet these requirements?
",A. Create a cron job that runs a script lo download the AWS IAM security credentials W,B. parse the file for account root user logins and email the Security team's distribution 1st,"C. Run AWS CloudTrail logs through Amazon CloudWatch Events to detect account roo4 user logins and trigger an AWS Lambda function to send an Amazon
SNS notification to the Security team'sdistribution list.","D. Save AWS CloudTrail logs to an Amazon S3 bucket in the Security team's account Process the CloudTrail logs with the Security Engineer's logging solution for
account root user logins Send an Amazon SNS notification to the Security team upon encountering the account root user login events","E. Save VPC Plow Logs to an Amazon S3 bucket in the Security team's account and process the VPC Flow Logs with their logging solutions for account root user
logins Send an Amazon SNS notification to the Security team upon encountering the account root user login events",,,,,,,,,B,
31,"- (Exam Topic 1)
A website currently runs on Amazon EC2 with mostly static content on the site. Recently, the site was subjected to a ODoS attack, and a Security Engineer was
tasked with redesigning the edge security to help mitigate this risk in the future
What are some ways the Engineer could achieve this? (Select THREE )
",A. Use AWS X-Ray to inspect the traffic going 10 the EC2 instances,B. Move the state content to Amazon S3 and font this with an Amazon CloudFront distribution,C. Change the security group configuration to block the source of the attack traffic,D. Use AWS WAF security rules to inspect the inbound traffic,E. Use Amazon inspector assessment templates to inspect the inbound traffic,F. Use Amazon Route 53 to distribute traffic,,,,,,,,BDF,
33,"- (Exam Topic 1)
A company's web application is hosted on Amazon EC2 instances running behind an Application Load Balancer (ALB) in an Auto Scaling group. An AWS WAF
web ACL is associated with the ALB. AWS CloudTrail is enabled, and stores logs in Amazon S3 and Amazon CloudWatch Logs.
The operations team has observed some EC2 instances reboot at random. After rebooting, all access logs on the instances have been deleted. During an
investigation, the operations team found that each reboot happened just after a PHP error occurred on the new-user-creation.php file. The operations team needs
to view log information to determine if the company is being attacked.
Which set of actions will identify the suspect attacker's IP address for future occurrences?
","A. Configure VPC Flow Logs on the subnet where the ALB is located, and stream the data CloudWatch.Search for the new-user-creation.php occurrences in
CloudWatch.","B. Configure the CloudWatch agent on the ALB Configure the agent to send application logs to CloudWatch Update the instance role to allow CloudWatch Logs
acces",C. Export the logs to CloudWatch Search for the new-user-creation.php occurrences in CloudWatch.,"D. Configure the ALB to export access logs to an Amazon Elasticsearch Service cluster, and use the service to search for the new-user-creation.php occurrences.","E. Configure the web ACL to send logs to Amazon Kinesis Data Firehose, which delivers the logs to an S3 bucket Use Amazon Athena to query the logs and find
the new-user-creation php occurrences.",,,,,,,,,B,
38,"- (Exam Topic 1)
A company requires that SSH commands used to access its AWS instance be traceable to the user who executed each command.
How should a Security Engineer accomplish this?
","A. Allow inbound access on port 22 at the security group attached to the instance Use AWS Systems Manager Session Manager for shell access to Amazon EC2
instances with the user tag defined Enable Amazon CloudWatch togging tor Systems Manager sessions","B. Use Amazon S3 to securely store one Privacy Enhanced Mail Certificate (PEM file) for each user Allow Amazon EC2 to read from Amazon S3 and import every
user that wants to use SSH to access EC2 instances Allow inbound access on port 22 at the security group attached to the instance Install the Amazon
CloudWatch agent on the EC2 instance and configure it to ingest audit logs for the instance","C. Deny inbound access on port 22 at the security group attached to the instance Use AWS Systems Manager Session Manager tor shell access to Amazon EC2
instances with the user tag defined Enable Amazon CloudWatch togging for Systems Manager sessions","D. Use Amazon S3 to securely store one Privacy Enhanced Mall Certificate (PEM fie) for each team or group Allow Amazon EC2 to read from Amazon S3 and
import every user that wants to use SSH to access EC2 instances Allow inbound access on pod 22 at the security group attached to the instance Install the
Amazon CloudWatch agent on the EC2 instance and configure it to ingest audit logs for the instance",,,,,,,,,,C,
41,"- (Exam Topic 1)
An application developer is using an AWS Lambda function that must use AWS KMS to perform encrypt and decrypt operations for API keys that are less than 2
KB Which key policy would allow the application to do this while granting least privilege?
",A. Option A,B. Option B,C. Option C,D. Option D,,,,,,,,,,B,
42,"- (Exam Topic 1)
A Security Engineer is looking for a way to control access to data that is being encrypted under a CMK. The Engineer is also looking to use additional
authenticated data (AAD) to prevent tampering with ciphertext.
Which action would provide the required functionality?
",A. Pass the key alias to AWS KMS when calling Encrypt and Decrypt API actions.,B. Use IAM policies to restrict access to Encrypt and Decrypt API actions.,C. Use kms:EncryptionContext as a condition when defining IAM policies for the CMK.,D. Use key policies to restrict access to the appropriate IAM groups.,,,,,,,,,,B,
44,"- (Exam Topic 1)
A company is running an application on Amazon EC2 instances in an Auto Scaling group. The application stores logs locally A security engineer noticed that logs
were lost after a scale-in event. The security engineer needs to recommend a solution to ensure the durability and availability of log data All logs must be kept for a
minimum of 1 year for auditing purposes
What should the security engineer recommend?
","A. Within the Auto Scaling lifecycle, add a hook to create and attach an Amazon Elastic Block Store (Amazon EBS) log volume each time an EC2 instance is
create","B. When the instance is terminated, the EBS volume can be reattached to another instance for log review.","C. Create an Amazon Elastic File System (Amazon EFS) file system and add a command in the user data section of the Auto Scaling launch template to mount the
EFS file system during EC2 instance creation Configure a process on the instance to copy the logs once a day from an instance Amazon Elastic Block Store
(Amazon EBS) volume to a directory in the EFS file system.",D. Build the Amazon CloudWatch agent into the AMI used in the Auto Scaling grou,E. Configure the CloudWatch agent to send the logs to Amazon CloudWatch Logs for review.,"F. Within the Auto Scaling lifecycle, add a lifecycle hook at the terminating state transition and alert the engineering team by using a lifecycle notification to
Amazon Simple Notification Service (Amazon SNS). Configure the hook to remain in the Terminating:Wait state for 1 hour to allow manual review of the security
logs prior to instance termination.",,,,,,,,B,
47,"- (Exam Topic 1)
A company's on-premises data center forwards DNS logs to a third-party security incident events management (SIEM) solution that alerts on suspicious behavior.
The company wants to introduce a similar capability to its AWS accounts that includes automatic remediation. The company expects to double in size within the
next few months.
Which solution meets the company's current and future logging requirements?
",A. Enable Amazon GuardDuty and AWS Security Hub in all Regions and all account,B. Designate a mastersecurity account to receive all alerts from the child account,C. Set up specific rules within Amazon Even;Bridge to trigger an AWS Lambda function for remediation steps.,"D. Ingest all AWS CloudTrail logs, VPC Flow Logs, and DNS logs into a single Amazon S3 bucket in a designated security accoun",E. Use the current on-premises SIEM to monitor the logs and send a notification to an Amazon SNS topic to alert the security team of remediation steps.,"F. Ingest all AWS CloudTrail logs, VPC Flow Logs, and DNS logs into a single Amazon S3 bucket in a designated security accoun","G. Launch an Amazon EC2 instance and install the current SIEM to monitor the logs and send a notification to an Amazon SNS topic to alert the security team of
remediation steps.",H. Enable Amazon GuardDuty and AWS Security Hub in all Regions and all account,I. Designate a master security account to receive all alerts from the child account,J. Create an AWS Organizations SCP that denies access to certain API calls that are on an ignore list.,,,,A,
52,"- (Exam Topic 1)
A company is using AWS Organizations to manage multiple AWS member accounts. All of these accounts have Amazon GuardDuty enabled in all Regions. The
company's AW5 Security Operations Center has a centralized security account for logging and monitoring. One of the member accounts has received an
excessively high bill A security engineer discovers that a compromised Amazon EC2 instance is being used to mine crypto currency. The Security Operations
Center did not receive a GuardDuty finding in the central security account.
but there was a GuardDuty finding in the account containing the compromised EC2 instance. The security engineer needs to ensure an GuardDuty finding are
available in the security account.
What should the security engineer do to resolve this issue?
",A. Set up an Amazon CloudWatch Event rule to forward ail GuardDuty findings to the security account Use an AWS Lambda function as a target to raise findings,"B. Set up an Amazon CloudWatch Events rule to forward all GuardDuty findings to the security account Use an AWS Lambda function as a target to raise findings
in AWS Security Hub","C. Check that GuardDuty in the security account is able to assume a role in the compromised account using the GuardDuty fast findings permission Schedule an
Amazon CloudWatch Events rule and an AWS Lambda function to periodically check for GuardDuty findings","D. Use the aws GuardDuty get-members AWS CLI command m the security account to see if the account is listed Send an invitation from GuardDuty m the
security account to GuardDuty in the compromised account Accept the invitation to forward all future GuardDuty findings",,,,,,,,,,D,
57,"- (Exam Topic 1)
A convoys data lake uses Amazon S3 and Amazon Athena. The company's security engineer has been asked to design an encryption solution that meets the
company's data protection requirements. The encryption solution must work with Amazon S3 and keys managed by the company. The encryption solution must be
protected in a hardware security module that is validated id Federal information Processing Standards (FPS) 140-2 Level 3.
Which solution meets these requirements?
",A. Use client-side encryption with an AWS KMS customer-managed key implemented with the AWS Encryption SDK,B. Use AWS CloudHSM to store the keys and perform cryptographic operations Save the encrypted text inAmazon S3,C. Use an AWS KMS customer-managed key that is backed by a custom key store using AWS CloudHSM,D. Use an AWS KMS customer-managed key with the bring your own key (BYOK) feature to import a key stored in AWS CloudHSM,,,,,,,,,,B,
62,"- (Exam Topic 1)
A Security Engineer discovered a vulnerability in an application running on Amazon ECS. The vulnerability allowed attackers to install malicious code. Analysis of
the code shows it exfiltrates data on port 5353 in batches at random time intervals.
While the code of the containers is being patched, how can Engineers quickly identify all compromised hosts and stop the egress of data on port 5353?
",A. Enable AWS Shield Advanced and AWS WA,B. Configure an AWS WAF custom filter for egress traffic on port 5353,C. Enable Amazon Inspector on Amazon ECS and configure a custom assessment to evaluate containers that have port 5353 ope,D. Update the NACLs to block port 5353 outbound.,E. Create an Amazon CloudWatch custom metric on the VPC Flow Logs identifying egress traffic on port 5353. Update the NACLs to block port 5353 outbound.,F. Use Amazon Athena to query AWS CloudTrail logs in Amazon S3 and look for any traffic on port 5353. Update the security groups to block port 5353 outbound.,,,,,,,,C,
66,"- (Exam Topic 1)
A company is operating an open-source software platform that is internet facing. The legacy software platform no longer receives security updates. The software
platform operates using Amazon route 53 weighted load balancing to send traffic to two Amazon EC2 instances that connect to an Amazon POS cluster a recent
report suggests this software platform is vulnerable to SQL injection attacks. with samples of attacks provided. The company's security engineer must secure this
system against SQL injection attacks within 24 hours. The secure, engineer's solution involve the least amount of effort and maintain normal operations during
implementation.
What should the security engineer do to meet these requirements?
","A. Create an Application Load Balancer with the existing EC2 instances as a target group Create an AWS WAF web ACL containing rules mat protect the
application from this attac","B. then apply it to the ALB Test to ensure me vulnerability has been mitigated, then redirect thee Route 53 records to point to the ALB Update security groups on
the EC 2 instances to prevent direct access from the internet","C. Create an Amazon CloudFront distribution specifying one EC2 instance as an origin Create an AWS WAF web ACL containing rules that protect the application
from this attack, then apply it to me distribution Test to ensure the vulnerability has mitigated, then redirect the Route 53 records to point toCloudFront","D. Obtain me latest source code for the platform and make ire necessary updates Test me updated code to ensure that the vulnerability has been irrigated, then
deploy me patched version of the platform to the EC2 instances","E. Update the security group mat is attached to the EC2 instances, removing access from the internet to the TCP port used by the SQL database Create an AWS
WAF web ACL containing rules mat protect me application from this attack, men apply it to the EC2 instances Test to ensure me vulnerability has been mitigate",F. then restore the security group to me onginal setting,,,,,,,,A,
67,"- (Exam Topic 1)
Which of the following are valid configurations for using SSL certificates with Amazon CloudFront? (Select THREE )
",A. Default AWS Certificate Manager certificate,B. Custom SSL certificate stored in AWS KMS,C. Default CloudFront certificate,D. Custom SSL certificate stored in AWS Certificate Manager,E. Default SSL certificate stored in AWS Secrets Manager,F. Custom SSL certificate stored in AWS IAM,,,,,,,,ACD,
71,"- (Exam Topic 1)
A company plans to use custom AMIs to launch Amazon EC2 instances across multiple AWS accounts in a single Region to perform security monitoring and
analytics tasks. The EC2 instances are launched in EC2 Auto Scaling groups. To increase the security of the solution, a Security Engineer will manage the
lifecycle of the custom AMIs in a centralized account and will encrypt them with a centrally managed AWS KMS CMK. The Security Engineer configured the KMS
key policy to allow cross-account access. However, the EC2 instances are still not being properly launched by the EC2 Auto Scaling groups.
Which combination of configuration steps should the Security Engineer take to ensure the EC2 Auto Scaling groups have been granted the proper permissions to
execute tasks?
",A. Create a customer-managed CMK in the centralized accoun,"B. Allow other applicable accounts to use that key for cryptographical operations by applying proper cross-account permissions in the key policy.Create an IAM
role in all applicable accounts and configure its access policy to allow the use of the centrally managed CMK for cryptographical operation",C. Configure EC2 Auto Scaling groups within each applicable account to use the created IAM role to launch EC2 instances.,D. Create a customer-managed CMK in the centralized accoun,E. Allow other applicable accounts to use that key for cryptographical operations by applying proper cross-account permissions in the key polic,F. Create an IAM role in all applicable accounts and configure its access policy with permissions to create grants for the centrally managed CM,G. Use this IAM role to create a grant for the centrally managed CMK with permissions to perform cryptographical operations and with the EC2 Auto Scalingservicelinked role defined as the grantee principal.,H. Create a customer-managed CMK or an AWS managed CMK in the centralized accoun,I. Allow other applicable accounts to use that key for cryptographical operations by applying proper cross-account permissions in the key polic,"J. Use the CMK administrator to create a CMK grant that includes permissions to perform cryptographical operations that define EC2 Auto Scaling service-linked
roles from all other accounts as the grantee principal.",K. Create a customer-managed CMK or an AWS managed CMK in the centralized accoun,L. Allow other applicable accounts to use that key for cryptographical operations by applying proper cross-account permissions in the key polic,M. Modify the access policy for the EC2 Auto Scaling roles to perform cryptographical operations against the centrally managed CMK.,B,
75,"- (Exam Topic 1)
A company uses SAML federation with AWS Identity and Access Management (IAM) to provide internal users with SSO for their AWS accounts. The company's
identity provider certificate was rotated as part of its normal lifecycle. Shortly after, users started receiving the following error when attempting to log in:
""Error: Response Signature Invalid (Service: AWSSecuntyTokenService; Status Code: 400; Error Code: InvalidldentltyToken)""
A security engineer needs to address the immediate issue and ensure that it will not occur again. Which combination of steps should the security engineer take to
accomplish this? (Select TWO.)
",A. Download a new copy of the SAML metadata file from the identity provider Create a new IAM identity provider entit,B. Upload the new metadata file to the new IAM identity provider entity.,"C. During the next certificate rotation period and before the current certificate expires, add a new certificate as the secondary to the identity provide",D. Generate a new metadata file and upload it to the IAM identity provider entit,E. Perform automated or manual rotation of the certificate when required.,"F. Download a new copy of the SAML metadata file from the identity provider Upload the new metadata to the IAM identity provider entity configured for the SAML
integration in question.","G. During the next certificate rotation period and before the current certificate expires, add a new certificate as the secondary to the identity provide",H. Generate a new copy of the metadata file and create a new IAM identity provider entit,I. Upload the metadata file to the new IAM identity provider entit,J. Performautomated or manual rotation of the certificate when required.,K. Download a new copy of the SAML metadata file from the identity provider Create a new IAM identity provider entit,L. Upload the new metadata file to the new IAM identity provider entit,M. Update the identity provider configurations to pass a new IAM identity provider entity name in the SAML assertion.,AD,
78,"- (Exam Topic 1)
A company is outsourcing its operational support 1o an external company. The company’s security officer must implement an access solution fen delegating
operational support that minimizes overhead.
Which approach should the security officer take to meet these requirements?
","A. implement Amazon Cognito identity pools with a role that uses a policy that denies the actions related to Amazon Cognito API management Allow the external
company to federate through its identity provider","B. Federate AWS identity and Access Management (IAM) with the external company's identity provider Create an IAM role and attach a policy with the necessary
permissions",C. Create an IAM group for me external company Add a policy to the group that denies IAM modifications Securely provide the credentials to the eternal company.,D. Use AWS SSO with the external company's identity provide,"E. Create an IAM group to map to the identity provider user group, and attach a policy with the necessary permissions.",,,,,,,,,B,
83,"- (Exam Topic 1)
A company has an application hosted in an Amazon EC2 instance and wants the application to access secure strings stored in AWS Systems Manager Parameter
Store When the application tries to access the secure string key value, it fails.
Which factors could be the cause of this failure? (Select TWO.)
",A. The EC2 instance role does not have decrypt permissions on the AWS Key Management Sen/ice (AWS KMS) key used to encrypt the secret,B. The EC2 instance role does not have read permissions to read the parameters In Parameter Store,C. Parameter Store does not have permission to use AWS Key Management Service (AWS KMS) to decrypt the parameter,D. The EC2 instance role does not have encrypt permissions on the AWS Key Management Service (AWS KMS) key associated with the secret,E. The EC2 instance does not have any tags associated.,,,,,,,,,CE,
86,"- (Exam Topic 1)
The Security Engineer is managing a traditional three-tier web application that is running on Amazon EC2 instances. The application has become the target of
increasing numbers of malicious attacks from the Internet.
What steps should the Security Engineer take to check for known vulnerabilities and limit the attack surface? (Choose two.)
",A. Use AWS Certificate Manager to encrypt all traffic between the client and application servers.,B. Review the application security groups to ensure that only the necessary ports are open.,C. Use Elastic Load Balancing to offload Secure Sockets Layer encryption.,D. Use Amazon Inspector to periodically scan the backend instances.,E. Use AWS Key Management Services to encrypt all the traffic between the client and application servers.,,,,,,,,,BD,
88,"- (Exam Topic 1)
An AWS account administrator created an IAM group and applied the following managed policy to require that each individual user authenticate using multi-factor
authentication:After implementing the policy, the administrator receives reports that users are unable to perform Amazon EC2 commands using the AWS CLI. What should the
administrator do to resolve this problem while still
enforcing multi-factor authentication?
",A. Change the value of aws MultiFactorAuthPresent to true.,B. Instruct users to run the aws sts get-session-token CLI command and pass the multi-factor authentication—serial-number and —token-code parameter,C. Use these resulting values to make API/CLI calls,"D. Implement federated API/CLI access using SAML 2.0, then configure the identity provider to enforce multi-factor authentication.","E. Create a role and enforce multi-factor authentication in the role trust policy Instruct users to run the sts assume-role CLI command and pass --serial-number and
—token-code parameters Store the resulting values in environment variable",F. Add sts:AssumeRole to NotAction in the policy.,,,,,,,,B,
