QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
23,"A company has a few dozen application servers in private subnets behind an Elastic Load Balancer (ELB) in an AWS Auto Scaling group. The application is
accessed from the web over HTTPS. The data must always be encrypted in transit. The Security Engineer is worried about potential key exposure due to
vulnerabilities in the application software.
Which approach will meet these requirements while protecting the external certificate during a breach?
",A. Use a Network Load Balancer (NLB) to pass through traffic on port 443 from the internet to port 443 on the instances.,"B. Purchase an external certificate, and upload it to the AWS Certificate Manager (for use with the ELB) and to the instance","C. Have the ELB decrypt traffic, and route and re-encrypt with the same certificate.",D. Generate an internal self-signed certificate and apply it to the instance,E. Use AWS Certificate Manager to generate a new external certificate for the EL,"F. Have the ELB decrypt traffic, and route andre-encrypt with the internal certificate.",G. Upload a new external certificate to the load balance,H. Have the ELB decrypt the traffic and forward it on port 80 to the instances.,,,,,,C,
28,"Your company is planning on developing an application in AWS. This is a web based application. The application users will use their facebook or google identities
for authentication. You want to have the ability to manage user profiles without having to add extra coding to manage this. Which of the below would assist in this.
Please select:
",A. Create an OlDC identity provider in AWS,B. Create a SAML provider in AWS,C. Use AWS Cognito to manage the user profiles,D. Use 1AM users to manage the user profiles,,,,,,,,,,B,"The AWS Documentation mentions the following The AWS Documentation mentions the following
OIDC identity providers are entities in 1AM that describe an identity provider (IdP) service that supports the OpenID Connect (OIDC) standard. You use an OIDC
identity provider when you want to establish trust between an OlDC-compatible IdP—such as Google, Salesforce, and many others—and your AWS account This is
useful if you are creating a mobile app or web application that requires access to AWS resources, but you don't want to create custom sign-in code or manage your
own user identities
Option A is invalid because in the security groups you would not mention this information/ Option C is invalid because SAML is used for federated authentication
Option D is invalid because you need to use the OIDC identity provider in AWS For more information on ODIC identity providers, please refer to the below Link:
https://docs.aws.amazon.com/IAM/latest/UserGuide/id roles providers create oidc.htmll
The correct answer is: Create an OIDC identity provider in AWS"
30,"A company has a set of EC2 instances hosted in AWS. These instances have EBS volumes for storing critical information. There is a business continuity
requirement and in order to boost the agility of the business and to ensure data durability which of the following options are not required.
Please select:
",A. Use lifecycle policies for the EBS volumes,B. Use EBS Snapshots,C. Use EBS volume replication,D. Use EBS volume encryption,,,,,,,,,,CD,"Data stored in Amazon EBS volumes is redundantly stored in multiple physical locations as part of normal operation of those services and at no additional charge.
However, Amazon EBS replication is stored within the same availability zone, not across multiple zones; therefore, it is highly recommended that you conduct
regular snapshots to Amazon S3 for long-term data durability.
You can use Amazon Data Lifecycle Manager (Amazon DLM) to automate the creation, retention, and deletion of snapshots
taken to back up your Amazon EBS volumes.
With lifecycle management, you can be sure that snapshots are cleaned up regularly and keep costs under control.
EBS Lifecycle Policies
A lifecycle policy consists of these core settings:
• Resource type—The AWS resource managed by the policy, in this case, EBS volumes.
• Target tag—The tag that must be associated with an EBS volume for it to be managed by the policy.
• Schedule—Defines how often to create snapshots and the maximum number of snapshots to keep. Snapshot creation starts within an hour of the specified start
time. If creating a new snapshot exceeds the maximum number of snapshots to keep for the volume, the oldest snapshot is deleted.
Option C is correct. Each Amazon EBS volume is automatically replicated within its Availability Zone to protect you from component failure, offering high availability
and durability. But it does not have an explicit feature like that.
Option D is correct Encryption does not ensure data durability
For information on security for Compute Resources, please visit the below URL https://d1.awsstatic.com/whitepapers/Security/Security Compute Services
Whitepaper.pdl
The correct answers are: Use EBS volume replication. Use EBS volume encryption Submit your Feedback/Queries to our Experts"
33,"An IAM user with fill EC2 permissions could bot start an Amazon EC2 instance after it was stopped for a maintenance task. Upon starting the instance, the
instance state would change to “Pending”, but after a few seconds, it would switch back to “Stopped”.
An inspection revealed that the instance has attached Amazon EBS volumes that were encrypted by using a Customer Master Key (CMK). When these encrypted
volumes were detached, the IAM user was able to start the EC2 instances.
The IAM user policy is as follows:
What additional items need to be added to the IAM user policy? (Choose two.)
",A. kms:GenerateDataKey,B. kms:Decrypt,C. kms:CreateGrant,D. “Condition”: {“Bool”: {“kms:ViaService”: “ec2.us-west-2.amazonaws.com”}},E. “Condition”: {“Bool”: {“kms:GrantIsForAWSResource”: true}},,,,,,,,,CE,
37,"A Security Engineer launches two Amazon EC2 instances in the same Amazon VPC but in separate Availability Zones. Each instance has a public IP address and
is able to connect to external hosts on the internet. The two instances are able to communicate with each other by using their private IP addresses, but they are
not able to communicate with each other when using their public IP addresses.
Which action should the Security Engineer take to allow communication over the public IP addresses?
",A. Associate the instances to the same security groups.,B. Add 0.0.0.0/0 to the egress rules of the instance security groups.,C. Add the instance IDs to the ingress rules of the instance security groups.,D. Add the public IP addresses to the ingress rules of the instance security groups.,,,,,,,,,,D,
38,"A company wants to use Cloudtrail for logging all API activity. They want to segregate the logging of data events and management events. How can this be
achieved? Choose 2 answers from the options given below
Please select:
",A. Create one Cloudtrail log group for data events,B. Create one trail that logs data events to an S3 bucket,C. Create another trail that logs management events to another S3 bucket,D. Create another Cloudtrail log group for management events,,,,,,,,,,BC,"The AWS Documentation mentions the following
You can configure multiple trails differently so that the trails process and log only the events that you specify. For example, one trail can log read-only data and
management events, so that all read-only events are delivered to one S3 bucket. Another trail can log only write-only data and management events, so that all
write-only events are delivered to a separate S3 bucket
Options A and D are invalid because you have to create a trail and not a log group
For more information on managing events with cloudtrail, please visit the following URL: https://docs.aws.amazon.com/awscloudtrail/latest/userguide/loHEingmanasement-and-data-events-with-cloudtr The correct answers are: Create one trail that logs data events to an S3 bucket. Create another trail that logs
management events to another S3 bucket
Submit your Feedback/Queries to our Experts"
43,"A Security Analyst attempted to troubleshoot the monitoring of suspicious security group changes. The Analyst was told that there is an Amazon CloudWatch
alarm in place for these AWS CloudTrail log events. The Analyst tested the monitoring setup by making a configuration change to the security group but did not
receive any alerts.
Which of the following troubleshooting steps should the Analyst perform?
",A. Ensure that CloudTrail and S3 bucket access logging is enabled for the Analyst's AWS accoun,B. Verify that a metric filter was created and then mapped to an alar,C. Check the alarm notification action.,D. Check the CloudWatch dashboards to ensure that there is a metric configured with an appropriate dimension for security group changes.,E. Verify that the Analyst's account is mapped to an IAM policy that includes permissions for cloudwatch: GetMetricStatistics and Cloudwatch: ListMetrics.,,,,,,,,,B,
48,"A Software Engineer wrote a customized reporting service that will run on a fleet of Amazon EC2 instances. The company security policy states that application
logs for the reporting service must be centrally collected.
What is the MOST efficient way to meet these requirements?
",A. Write an AWS Lambda function that logs into the EC2 instance to pull the application logs from the EC2 instance and persists them into an Amazon S3 bucket.,"B. Enable AWS CloudTrail logging for the AWS account, create a new Amazon S3 bucket, and then configure Amazon CloudWatch Logs to receive the application
logs from CloudTrail.",C. Create a simple cron job on the EC2 instances that synchronizes the application logs to an Amazon S3 bucket by using rsync.,"D. Install the Amazon CloudWatch Logs Agent on the EC2 instances, and configure it to send the application logs to CloudWatch Logs.",,,,,,,,,,D,
50,"An application running on EC2 instances in a VPC must access sensitive data in the data center. The access must be encrypted in transit and have consistent low
latency. Which hybrid architecture will meet these requirements?
Please select:
",A. Expose the data with a public HTTPS endpoint.,B. A VPN between the VPC and the data center over a Direct Connect connection,C. A VPN between the VPC and the data center.,D. A Direct Connect connection between the VPC and data center,,,,,,,,,,B,"Since this is required over a consistency low latency connection, you should use Direct Connect. For encryption, you can make use of a VPN
Option A is invalid because exposing an HTTPS endpoint will not help all traffic to flow between a VPC and the data center.
Option C is invalid because low latency is a key requirement Option D is invalid because only Direct Connect will not suffice
For more information on the connection options please see the below Link: https://aws.amazon.com/answers/networking/aws-multiple-vpc-vpn-connection-sharint
The correct answer is: A VPN between the VPC and the data center over a Direct Connect connection Submit your Feedback/Queries to our Experts"
53,"Your company has been using AWS for hosting EC2 Instances for their web and database applications. They want to have a compliance check to see the
following
Whether any ports are left open other than admin ones like SSH and RDP
Whether any ports to the database server other than ones from the web server security group are open Which of the following can help achieve this in the easiest
way possible. You don't want to carry out an extra configuration changes?
Please select:
",A. AWS Config,B. AWS Trusted Advisor,C. AWS Inspector ,D.AWSGuardDuty,,,,,,,,,,B,"Trusted Advisor checks for compliance with the following security recommendations:
Limited access to common administrative ports to only a small subset of addresses. This includes ports 22 (SSH), 23 (Telnet) 3389 (RDP), and 5500 (VNQ.
Limited access to common database ports. This includes ports 1433 (MSSQL Server), 1434 (MSSQL Monitor), 3306 (MySQL), Oracle (1521) and 5432
(PostgreSQL).
Option A is partially correct but then you would need to write custom rules for this. The AWS trusted advisor can give you all o these checks on its dashboard
Option C is incorrect. Amazon Inspector needs a software agent to be installed on all EC2 instances that are included in th.
assessment target, the security of which you want to evaluate with Amazon Inspector. It monitors the behavior of the EC2
instance on which it is installed, including network, file system, and process activity, and collects a wide set of behavior and configuration data (telemetry), which it
then passes to the Amazon Inspector service.
Our question's requirement is to choose a choice that is easy to implement. Hence Trusted Advisor is more appropriate for this )
question.
Options D is invalid because this service dont provide these details.
For more information on the Trusted Advisor, please visit the following URL https://aws.amazon.com/premiumsupport/trustedadvisor>
The correct answer is: AWS Trusted Advisor Submit your Feedback/Queries to our Experts"
58,"The Security Engineer for a mobile game has to implement a method to authenticate users so that they can save their progress. Because most of the users are
part of the same OpenID-Connect compatible social media website, the Security Engineer would like to use that as the identity provider.
Which solution is the SIMPLEST way to allow the authentication of users using their social media identities?
",A. Amazon Cognito,B. AssumeRoleWithWebIdentity API,C. Amazon Cloud Directory,D. Active Directory (AD) Connector,,,,,,,,,,B,
59,"A company wishes to enable Single Sign On (SSO) so its employees can login to the management console using their corporate directory identity. Which steps
below are required as part of the process? Select 2 answers from the options given below.
Please select:
",A. Create a Direct Connect connection between on-premise network and AW,B. Use an AD connector for connecting AWS with on-premise active directory.,C. Create 1AM policies that can be mapped to group memberships in the corporate directory.,D. Create a Lambda function to assign 1AM roles to the temporary security tokens provided to the users.,E. Create 1AM users that can be mapped to the employees' corporate identities,F. Create an 1AM role that establishes a trust relationship between 1AM and the corporate directory identity provider (IdP),,,,,,,,AE,"Create a Direct Connect connection so that corporate users can access the AWS account
Option B is incorrect because 1AM policies are not directly mapped to group memberships in the corporate directory. It is 1AM roles which are mapped.
Option C is incorrect because Lambda functions is an incorrect option to assign roles.
Option D is incorrect because 1AM users are not directly mapped to employees' corporate identities. For more information on Direct Connect, please refer to below
URL:
' https://aws.amazon.com/directconnect/
From the AWS Documentation, for federated access, you also need to ensure the right policy permissions are in place
Configure permissions in AWS for your federated users
The next step is to create an 1AM role that establishes a trust relationship between 1AM and your organization's IdP that identifies your IdP as a principal (trusted
entity) for purposes of federation. The role also defines what users authenticated your organization's IdP are allowed to do in AWS. You can use the 1AM console
to create this role. When you create the trust policy that indicates who can assume the role, you specify the SAML provider that you created earlier in 1AM along
with one or more SAML attributes that a user must match to be allowed to assume the role. For example, you can specify that only users whose SAML
eduPersonOrgDN value is ExampleOrg are allowed to sign in. The role wizard automatically adds a condition to test the saml:aud attribute to make sure that the
role is assumed only for sign-in to the AWS Management Console. The trust policy for the role might look like this:
C:\Users\wk\Desktop\mudassar\Untitled.jpg
For more information on SAML federation, please refer to below URL: https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_providers_enabli Note:
What directories can I use with AWS SSO?
You can connect AWS SSO to Microsoft Active Directory, running either on-premises or in the AWS Cloud. AWS SSO supports AWS Directory Service for
Microsoft Active Directory, also known as AWS Managed Microsoft AD, and AD Connector. AWS SSO does not support Simple AD. See AWS Directory Service
Getting Started to learn more.
To connect to your on-premises directory with AD Connector, you need the following: VPC
Set up a VPC with the following:
• At least two subnets. Each of the subnets must be in a different Availability Zone.
• The VPC must be connected to your on-premises network through a virtual private network (VPN) connection or AWS Direct
Connect.
• The VPC must have default hardware tenancy.
• https://aws.amazon.com/single-sign-on/
• https://aws.amazon.com/single-sign-on/faqs/
• https://aws.amazon.com/bloj using-corporate-credentials/
• https://docs.aws.amazon.com/directoryservice/latest/adminThe correct answers are: Create a Direct Connect connection between on-premise network and AWS. Use an AD connector connecting AWS with on-premise
active directory.. Create an 1AM role that establishes a trust relationship between 1AM and corporate directory identity provider (IdP)
Submit your Feedback/Queries to our Experts"
63,"There is a requirement for a company to transfer large amounts of data between AWS and an on-premise location. There is an additional requirement for low
latency and high consistency traffic to AWS. Given these requirements how would you design a hybrid architecture? Choose the correct answer from the options
below
Please select:
",A. Provision a Direct Connect connection to an AWS region using a Direct Connect partner.,"B. Create a VPN tunnel for private connectivity, which increases network consistency and reduces latency.","C. Create an iPSec tunnel for private connectivity, which increases network consistency and reduces latency.",D. Create a VPC peering connection between AWS and the Customer gateway.,,,,,,,,,,A,"AWS Direct Connect makes it easy to establish a dedicated network connection from your premises to AWS. Using AWS Direct Connect you can establish private
connectivity between AWS and your datacenter, office, or colocation environment which in many cases can reduce your network costs, increase bandwidth
throughput and provide a more consistent network experience than Internet-based connections.
Options B and C are invalid because these options will not reduce network latency Options D is invalid because this is only used to connect 2 VPC's
For more information on AWS direct connect, just browse to the below URL: https://aws.amazon.com/directconnect
The correct answer is: Provision a Direct Connect connection to an AWS region using a Direct Connect partner. omit your Feedback/Queries to our Experts"
65,"You have been given a new brief from your supervisor for a client who needs a web application set up on AWS. The a most important requirement is that MySQL
must be used as the database, and this database must not be hosted in t« public cloud, but rather at the client's data center due to security risks. Which of the
following solutions would be the ^ best to assure that the client's requirements are met? Choose the correct answer from the options below
Please select:
",A. Build the application server on a public subnet and the database at the client's data cente,B. Connect them with a VPN connection which uses IPsec.,C. Use the public subnet for the application server and use RDS with a storage gateway to access and synchronize the data securely from the local data center.,D. Build the application server on a public subnet and the database on a private subnet with a NAT instance between them.,"E. Build the application server on a public subnet and build the database in a private subnet with a secure ssh connection to the private subnet from the client's
data center.",,,,,,,,,A,"Since the database should not be hosted on the cloud all other options are invalid. The best option is to create a VPN connection for securing traffic as shown
below. C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option B is invalid because this is the incorrect use of the Storage gateway Option C is invalid since this is the incorrect use of the NAT instance Option D is invalid
since this is an incorrect configuration For more information on VPN connections, please visit the below URL
http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC_VPN.htmll
The correct answer is: Build the application server on a public subnet and the database at the client's data center. Connect them with a VPN connection which
uses IPsec
Submit your Feedback/Queries to our Experts"
69,"An organization has setup multiple 1AM users. The organization wants that each 1AM user accesses the 1AM console only within the organization and not from
outside. How can it achieve this?
Please select:
",A. Create an 1AM policy with the security group and use that security group for AWS console login,B. Create an 1AM policy with a condition which denies access when the IP address range is not from the organization,C. Configure the EC2 instance security group which allows traffic only from the organization's IP range,D. Create an 1AM policy with VPC and allow a secure gateway between the organization and AWS Console,,,,,,,,,,B,"You can actually use a Deny condition which will not allow the person to log in from outside. The below example shows the Deny condition to ensure that any
address specified in the source address is not allowed to access the resources in aws.
Option A is invalid because you don't mention the security group in the 1AM policy Option C is invalid because security groups by default don't allow traffic
Option D is invalid because the 1AM policy does not have such an option For more information on 1AM policy conditions, please visit the URL:
http://docs.aws.amazon.com/IAM/latest/UserGuide/access
pol
examples.htm l#iam-policy-example-ec2-two-condition!
The correct answer is: Create an 1AM policy with a condition which denies access when the IP address range is not from the organization
Submit your Feedback/Queries to our Experts"
72,"A company runs an application on AWS that needs to be accessed only by employees. Most employees work from the office, but others work remotely or travel.
How can the Security Engineer protect this workload so that only employees can access it?
",A. Add each employee’s home IP address to the security group for the application so that only those users can access the workload.,"B. Create a virtual gateway for VPN connectivity for each employee, and restrict access to the workload from within the VP","C.
C. Use a VPN appliance from the AWS Marketplace for users to connect to, and restrict workload access to traffic from that appliance.",D. Route all traffic to the workload through AWS WA,"E. Add each employee’s home IP address into an AWS WAF rule, and block all other traffic.",,,,,,,,,C,
